,building_type_id,building_sqft,general_type,lot_size,residential_units,net_residential_units
597575,3,393201.9,Residential,187239,394.0,312.0
597576,5,28045.5,Office,37394,0.0,0.0
597665,3,369884.58,Residential,474211,370.0,370.0
597666,24,1973.7,Residential,2193,2.0,1.0
597684,20,3999.6,Residential,4444,4.0,3.0
597686,24,5239.8,Residential,5822,6.0,4.0
597714,3,2906.1,Residential,3229,3.0,1.0
597716,2,25633.8,Residential,28482,26.0,26.0
597724,24,2426.58,Residential,3111,3.0,2.0
597757,24,1877.46,Residential,2407,2.0,1.0
597814,24,250.60000000000002,Residential,2506,1.0,0.0
597845,2,314.70000000000005,Residential,3147,1.0,0.0
597878,2,479.5,Residential,4795,1.0,0.0
597879,2,320.1,Residential,3201,1.0,0.0
597880,24,316.1,Residential,3161,1.0,0.0
597897,2,250.0,Residential,1598,1.0,0.0
597916,24,4768.3,Residential,47683,5.0,5.0
597917,20,1246.9,Residential,12469,2.0,2.0
597918,2,6591.1,Residential,65911,7.0,7.0
597919,20,1675.9,Residential,16759,2.0,2.0
597920,2,250.0,Residential,1202,1.0,1.0
597921,20,2262.7000000000003,Residential,22627,3.0,3.0
597922,20,1119.6000000000001,Residential,11196,2.0,2.0
597923,20,2131.6,Residential,21316,3.0,3.0
597924,3,17470.0,Residential,174700,18.0,18.0
597948,20,520.0,Residential,5200,1.0,1.0
597993,2,250.0,Residential,1235,1.0,0.0
598012,24,4607.5,Residential,46075,5.0,5.0
598013,2,3013.7000000000003,Residential,30137,4.0,4.0
598080,3,71822.1,Residential,34201,72.0,72.0
598103,24,149740.5,Residential,71305,150.0,150.0
598105,20,53907.0,Residential,25670,54.0,54.0
598147,2,305781.0,Residential,145610,306.0,18.0
598234,3,18177.0,Residential,12118,19.0,19.0
598235,2,59236.5,Residential,39491,60.0,60.0
598236,24,18775.5,Residential,12517,19.0,-14.0
598260,20,2208.7000000000003,Residential,22087,3.0,3.0
598269,20,945.4000000000001,Residential,9454,1.0,1.0
598274,20,2510.0,Residential,25100,3.0,3.0
598275,20,1272.4,Residential,12724,2.0,2.0
598285,2,1527.6000000000001,Residential,15276,2.0,-67.0
598303,2,1246.2,Residential,12462,2.0,-4.0
598304,2,764.2,Residential,7642,1.0,0.0
598360,24,3263.0,Residential,6526,4.0,4.0
598365,20,8226.0,Residential,16452,9.0,9.0
598375,24,3599.1000000000004,Residential,35991,4.0,-20.0
598378,3,4687.6,Residential,46876,5.0,-125.0
598387,24,2504.5,Residential,25045,3.0,3.0
598393,20,1742.0,Residential,17420,2.0,2.0
598396,20,639.0,Residential,6390,1.0,1.0
598406,20,619.3000000000001,Residential,6193,1.0,1.0
598413,20,308.40000000000003,Residential,3084,1.0,1.0
598423,20,316.6,Residential,3166,1.0,1.0
598438,20,1253.5,Residential,12535,2.0,-22.0
598454,3,15403.0,Residential,154030,16.0,16.0
598556,2,2161.1,Residential,21611,3.0,3.0
598574,2,9976.0,Residential,19952,10.0,10.0
598593,2,199894.5,Residential,102510,200.0,43.0
598615,24,753.8000000000001,Residential,7538,1.0,-4.0
598631,24,328.6,Residential,3286,1.0,0.0
598632,24,299.2,Residential,2992,1.0,0.0
598635,24,14411.0,Residential,144110,15.0,15.0
598654,24,308.1,Residential,3081,1.0,0.0
598673,20,250.0,Residential,1594,1.0,0.0
598693,3,1546.2,Residential,15462,2.0,-18.0
598698,20,375.40000000000003,Residential,3754,1.0,0.0
598709,3,554.8000000000001,Residential,5548,1.0,-3.0
598710,24,250.0,Residential,1564,1.0,-1.0
598722,3,1090.0,Residential,10900,2.0,0.0
598726,20,1489.25,Residential,4025,2.0,1.0
598773,24,396.70000000000005,Residential,3967,1.0,0.0
598775,20,393.6,Residential,3936,1.0,0.0
598779,20,388.1,Residential,3881,1.0,0.0
598799,20,1480.7,Residential,14807,2.0,-3.0
598806,24,323.3,Residential,3233,1.0,0.0
598807,24,291.5,Residential,2915,1.0,0.0
598822,24,313.0,Residential,3130,1.0,-1.0
598836,24,327.1,Residential,3271,1.0,0.0
598847,20,4543.2,Residential,45432,5.0,-27.0
598854,20,319.8,Residential,3198,1.0,0.0
598860,24,315.70000000000005,Residential,3157,1.0,0.0
598869,24,862.4000000000001,Residential,8624,1.0,0.0
598880,2,17457.5,Residential,174575,18.0,18.0
598907,24,18738.3,Residential,8923,19.0,19.0
599174,3,4032.2599999999998,Residential,10898,5.0,5.0
599196,2,1277.61,Residential,3453,2.0,2.0
599197,3,1290.19,Residential,3487,2.0,2.0
599214,24,919.45,Residential,2485,1.0,1.0
599215,2,1781.18,Residential,4814,2.0,2.0
599220,2,1521.5,Residential,3043,2.0,2.0
599268,24,250.0,Residential,395,1.0,1.0
599270,2,250.0,Residential,400,1.0,1.0
599293,24,250.0,Residential,286,1.0,1.0
599343,20,68034.0,Residential,45356,69.0,69.0
599359,24,1399.71,Residential,3783,2.0,2.0
599360,24,1354.57,Residential,3661,2.0,2.0
599377,24,250.0,Residential,125,1.0,1.0
599398,24,250.0,Residential,522,1.0,1.0
599804,3,723.6,Residential,7236,1.0,0.0
599850,24,604.6,Residential,6046,1.0,0.0
599851,24,930.3000000000001,Residential,9303,1.0,0.0
599854,20,1206.8,Residential,12068,2.0,2.0
599867,20,460.5,Residential,4605,1.0,0.0
599926,24,601.5,Residential,6015,1.0,0.0
599958,24,951.2,Residential,9512,1.0,0.0
599974,2,607.0,Residential,6070,1.0,0.0
600001,20,614.1,Residential,6141,1.0,0.0
600034,24,619.1,Residential,6191,1.0,0.0
600059,20,663.2,Residential,6632,1.0,0.0
600074,20,607.8000000000001,Residential,6078,1.0,0.0
600082,20,594.7,Residential,5947,1.0,0.0
600099,2,617.8000000000001,Residential,6178,1.0,0.0
600144,2,617.6,Residential,6176,1.0,0.0
600146,24,606.3000000000001,Residential,6063,1.0,0.0
600192,20,646.3000000000001,Residential,6463,1.0,0.0
600200,20,606.6,Residential,6066,1.0,0.0
600213,2,618.2,Residential,6182,1.0,0.0
600232,24,602.7,Residential,6027,1.0,0.0
600251,3,616.6,Residential,6166,1.0,0.0
600276,20,626.8000000000001,Residential,6268,1.0,0.0
600306,24,610.6,Residential,6106,1.0,0.0
600598,20,834.1,Residential,8341,1.0,-1.0
600599,20,837.9000000000001,Residential,8379,1.0,-3.0
600638,3,618.9000000000001,Residential,6189,1.0,0.0
600648,3,1255.2,Residential,12552,2.0,-2.0
600673,3,641.2,Residential,6412,1.0,0.0
600675,24,1272.2,Residential,12722,2.0,1.0
600689,2,625.1,Residential,6251,1.0,0.0
600700,24,628.5,Residential,6285,1.0,0.0
600712,3,610.3000000000001,Residential,6103,1.0,0.0
600719,2,775.6,Residential,7756,1.0,-1.0
600735,3,452.40000000000003,Residential,4524,1.0,0.0
600736,24,480.8,Residential,4808,1.0,0.0
600939,24,610.8000000000001,Residential,6108,1.0,-1.0
600944,3,618.3000000000001,Residential,6183,1.0,1.0
600952,24,627.7,Residential,6277,1.0,0.0
601017,3,630.7,Residential,6307,1.0,0.0
601024,2,1167.0,Residential,11670,2.0,-4.0
601057,3,1169.3,Residential,11693,2.0,0.0
601328,20,622.1,Residential,6221,1.0,0.0
601350,20,766.4000000000001,Residential,7664,1.0,0.0
601358,3,628.2,Residential,6282,1.0,0.0
601365,3,629.9000000000001,Residential,6299,1.0,0.0
601387,3,629.7,Residential,6297,1.0,0.0
601399,24,6855.3,Residential,68553,7.0,-17.0
601415,20,3951.1000000000004,Residential,39511,4.0,-8.0
601580,24,627.8000000000001,Residential,6278,1.0,0.0
601601,2,250.0,Residential,23654,1.0,1.0
601616,20,917.4000000000001,Residential,9174,1.0,0.0
601656,20,620.7,Residential,6207,1.0,0.0
601666,2,551.4,Residential,5514,1.0,0.0
601691,2,1269.9,Residential,12699,2.0,0.0
601709,20,624.9000000000001,Residential,6249,1.0,-1.0
601722,2,375.8,Residential,3758,1.0,0.0
601905,2,618.0,Residential,6180,1.0,0.0
601924,20,575.7,Residential,5757,1.0,0.0
602029,20,631.0,Residential,6310,1.0,0.0
602141,20,589.3000000000001,Residential,5893,1.0,0.0
602157,2,566.8000000000001,Residential,5668,1.0,0.0
602162,20,627.2,Residential,6272,1.0,0.0
602193,20,890.8000000000001,Residential,8908,1.0,0.0
602228,20,643.3000000000001,Residential,6433,1.0,0.0
602233,20,565.5,Residential,5655,1.0,0.0
602236,2,587.4,Residential,5874,1.0,0.0
602244,2,250.0,Residential,252,1.0,1.0
602246,2,627.6,Residential,6276,1.0,0.0
602254,2,635.7,Residential,6357,1.0,0.0
602270,20,600.4,Residential,6004,1.0,0.0
602353,20,937.3000000000001,Residential,9373,1.0,0.0
602426,20,584.8000000000001,Residential,5848,1.0,-1.0
602429,20,490.3,Residential,4903,1.0,0.0
602439,2,980.7,Residential,9807,1.0,0.0
602475,3,536.5,Residential,5365,1.0,0.0
602482,24,6467.0,Residential,64670,7.0,-15.0
602485,3,33322.6,Residential,333226,34.0,-83.0
602498,3,3498.5,Residential,34985,4.0,-4.0
602521,3,800.9000000000001,Residential,8009,1.0,0.0
602522,20,644.2,Residential,6442,1.0,0.0
602561,20,696.5,Residential,6965,1.0,0.0
602588,2,627.6,Residential,6276,1.0,-1.0
602641,2,634.3000000000001,Residential,6343,1.0,0.0
602657,3,605.2,Residential,6052,1.0,0.0
602752,2,624.9000000000001,Residential,6249,1.0,0.0
602777,20,849.2,Residential,8492,1.0,0.0
602783,2,14404.400000000001,Residential,144044,15.0,-173.0
602917,20,553.0,Residential,5530,1.0,0.0
602930,24,620.3000000000001,Residential,6203,1.0,0.0
603084,20,622.4000000000001,Residential,6224,1.0,0.0
603094,24,587.6,Residential,5876,1.0,0.0
603097,20,595.2,Residential,5952,1.0,0.0
603098,24,578.1,Residential,5781,1.0,0.0
603100,20,580.0,Residential,5800,1.0,0.0
603136,2,610.8000000000001,Residential,6108,1.0,0.0
603142,20,609.6,Residential,6096,1.0,0.0
603150,24,581.4,Residential,5814,1.0,0.0
603172,24,592.2,Residential,5922,1.0,0.0
603174,3,529.2,Residential,5292,1.0,0.0
603190,20,941.6,Residential,9416,1.0,0.0
603191,24,629.5,Residential,6295,1.0,0.0
603210,24,799.2,Residential,7992,1.0,0.0
603212,20,873.2,Residential,8732,1.0,0.0
603216,20,595.5,Residential,5955,1.0,0.0
603369,24,623.0,Residential,6230,1.0,0.0
603382,20,596.9,Residential,5969,1.0,0.0
603393,24,630.6,Residential,6306,1.0,0.0
603402,20,713.5,Residential,7135,1.0,0.0
603404,24,1199.5,Residential,11995,2.0,1.0
603405,24,634.7,Residential,6347,1.0,0.0
603413,24,602.3000000000001,Residential,6023,1.0,0.0
603451,24,652.9000000000001,Residential,6529,1.0,0.0
603464,24,637.0,Residential,6370,1.0,0.0
603480,20,633.6,Residential,6336,1.0,0.0
603493,24,449.3,Residential,4493,1.0,0.0
603499,20,675.0,Residential,6750,1.0,0.0
605561,20,571.5,Residential,5715,1.0,-2.0
605575,20,609.1,Residential,6091,1.0,0.0
605581,3,596.0,Residential,5960,1.0,0.0
605602,20,614.0,Residential,6140,1.0,0.0
605606,2,602.5,Residential,6025,1.0,0.0
605648,20,605.1,Residential,6051,1.0,-1.0
605670,2,435.40000000000003,Residential,4354,1.0,0.0
605680,2,5986.6,Residential,59866,6.0,6.0
605695,20,661.7,Residential,6617,1.0,0.0
605697,20,666.7,Residential,6667,1.0,0.0
605756,24,959.2,Residential,9592,1.0,0.0
605766,3,250.0,Residential,1240,1.0,1.0
605776,2,633.0,Residential,6330,1.0,0.0
605792,20,609.4,Residential,6094,1.0,0.0
605795,24,615.8000000000001,Residential,6158,1.0,0.0
605845,24,628.0,Residential,6280,1.0,1.0
605876,3,619.7,Residential,6197,1.0,0.0
605906,2,631.3000000000001,Residential,6313,1.0,0.0
605911,20,296.5,Residential,2965,1.0,0.0
605923,3,616.4000000000001,Residential,6164,1.0,0.0
605933,3,622.1,Residential,6221,1.0,0.0
605941,3,605.3000000000001,Residential,6053,1.0,0.0
605951,3,605.2,Residential,6052,1.0,0.0
605958,3,605.3000000000001,Residential,6053,1.0,0.0
605964,20,613.8000000000001,Residential,6138,1.0,0.0
605997,3,920.4000000000001,Residential,9204,1.0,0.0
606002,24,908.9000000000001,Residential,9089,1.0,0.0
606008,3,634.0,Residential,6340,1.0,0.0
606034,24,626.1,Residential,6261,1.0,0.0
606044,24,606.4,Residential,6064,1.0,0.0
606061,2,613.4,Residential,6134,1.0,0.0
606091,24,608.2,Residential,6082,1.0,0.0
606105,20,627.3000000000001,Residential,6273,1.0,0.0
606122,3,404.8,Residential,4048,1.0,0.0
606155,24,643.8000000000001,Residential,6438,1.0,0.0
606157,24,624.3000000000001,Residential,6243,1.0,0.0
606206,24,250.0,Residential,6233,1.0,0.0
606212,20,944.3000000000001,Residential,9443,1.0,0.0
606286,24,627.0,Residential,6270,1.0,0.0
606288,2,1931.5,Residential,19315,2.0,-8.0
606293,20,656.6,Residential,6566,1.0,0.0
606372,3,635.2,Residential,6352,1.0,0.0
606382,3,666.3000000000001,Residential,6663,1.0,0.0
606387,20,647.8000000000001,Residential,6478,1.0,0.0
606389,24,648.8000000000001,Residential,6488,1.0,0.0
606399,3,641.5,Residential,6415,1.0,-1.0
606431,3,612.7,Residential,6127,1.0,0.0
606441,24,592.6,Residential,5926,1.0,0.0
606450,24,879.2,Residential,8792,1.0,0.0
606465,20,615.7,Residential,6157,1.0,0.0
606477,20,628.2,Residential,6282,1.0,0.0
606499,20,659.8000000000001,Residential,6598,1.0,0.0
606501,20,544.7,Residential,5447,1.0,0.0
606514,24,1196.0,Residential,11960,2.0,1.0
606532,24,1226.5,Residential,12265,2.0,1.0
606543,24,608.1,Residential,6081,1.0,0.0
606567,3,672.6,Residential,6726,1.0,0.0
606570,24,693.6,Residential,6936,1.0,0.0
606586,20,645.8000000000001,Residential,6458,1.0,0.0
606589,24,2289.6,Residential,22896,3.0,3.0
606603,2,961.2,Residential,9612,1.0,0.0
606605,24,944.3000000000001,Residential,9443,1.0,0.0
606609,24,620.9000000000001,Residential,6209,1.0,0.0
606615,3,626.9000000000001,Residential,6269,1.0,0.0
606619,24,652.2,Residential,6522,1.0,0.0
606631,24,615.8000000000001,Residential,6158,1.0,0.0
606641,3,1237.7,Residential,12377,2.0,1.0
606648,2,601.7,Residential,6017,1.0,0.0
606666,24,592.0,Residential,5920,1.0,0.0
606667,20,616.5,Residential,6165,1.0,0.0
606675,24,615.4000000000001,Residential,6154,1.0,0.0
606677,2,625.6,Residential,6256,1.0,0.0
606684,20,658.7,Residential,6587,1.0,0.0
606692,20,643.6,Residential,6436,1.0,0.0
606713,20,738.0,Residential,7380,1.0,0.0
606744,20,602.4,Residential,6024,1.0,0.0
606771,2,657.0,Residential,6570,1.0,0.0
606792,3,627.6,Residential,6276,1.0,0.0
606794,20,636.0,Residential,6360,1.0,0.0
606795,2,639.2,Residential,6392,1.0,0.0
606812,3,635.6,Residential,6356,1.0,0.0
606816,3,628.5,Residential,6285,1.0,0.0
606834,2,723.0,Residential,7230,1.0,0.0
606835,24,696.4000000000001,Residential,6964,1.0,0.0
606840,3,952.5,Residential,9525,1.0,0.0
606849,3,732.1,Residential,7321,1.0,0.0
606858,24,524.9,Residential,5249,1.0,0.0
606863,24,619.7,Residential,6197,1.0,0.0
606868,24,603.5,Residential,6035,1.0,0.0
606882,2,641.8000000000001,Residential,6418,1.0,0.0
606894,24,633.3000000000001,Residential,6333,1.0,0.0
606927,3,651.7,Residential,6517,1.0,-1.0
606930,24,498.1,Residential,4981,1.0,0.0
606946,24,656.7,Residential,6567,1.0,0.0
606973,24,672.1,Residential,6721,1.0,0.0
606981,24,668.0,Residential,6680,1.0,0.0
607014,24,672.2,Residential,6722,1.0,-1.0
607029,24,665.8000000000001,Residential,6658,1.0,0.0
607891,24,1663.8,Residential,2820,2.0,1.0
608925,24,64644.0,Residential,43096,65.0,65.0
608993,2,174938.53999999998,Residential,296506,175.0,175.0
609059,3,577.8000000000001,Residential,642,1.0,1.0
609179,2,2733.47,Residential,4633,3.0,2.0
609233,20,1788.29,Residential,3031,2.0,1.0
609235,2,2844.39,Residential,4821,3.0,1.0
609239,3,3001.9199999999996,Residential,5088,4.0,3.0
609280,20,5073.41,Residential,8599,6.0,5.0
609319,3,3246.77,Residential,5503,4.0,3.0
609829,3,3616.1099999999997,Residential,6129,4.0,2.0
609898,24,318.0,Residential,3180,1.0,0.0
609899,3,309.3,Residential,3093,1.0,0.0
609918,3,358.0,Residential,3580,1.0,-3.0
609925,20,376.8,Residential,3768,1.0,-1.0
609931,20,2003.3000000000002,Residential,20033,3.0,3.0
609935,3,342.70000000000005,Residential,3427,1.0,0.0
609943,2,529.1,Residential,5291,1.0,-1.0
609951,3,333.5,Residential,3335,1.0,0.0
609952,20,577.1,Residential,5771,1.0,-1.0
609961,20,621.5,Residential,6215,1.0,0.0
609963,20,453.20000000000005,Residential,4532,1.0,-2.0
609969,24,250.0,Residential,2226,1.0,0.0
609976,2,372.20000000000005,Residential,3722,1.0,0.0
609994,20,714.6,Residential,7146,1.0,-1.0
610008,24,620.0,Residential,6200,1.0,0.0
610015,24,403.0,Residential,4030,1.0,0.0
610019,20,300.6,Residential,3006,1.0,0.0
610022,2,250.0,Residential,2428,1.0,0.0
610028,20,250.0,Residential,1935,1.0,0.0
610037,2,310.90000000000003,Residential,3109,1.0,-1.0
610092,3,701.5,Residential,7015,1.0,-5.0
610095,2,12099.400000000001,Residential,120994,13.0,13.0
610109,3,567.2,Residential,5672,1.0,-2.0
610111,24,521.6,Residential,5216,1.0,0.0
610112,24,250.0,Residential,1830,1.0,-3.0
610127,20,371.90000000000003,Residential,3719,1.0,0.0
610130,3,319.90000000000003,Residential,3199,1.0,-1.0
610131,20,365.90000000000003,Residential,3659,1.0,-2.0
610139,20,453.90000000000003,Residential,4539,1.0,0.0
610141,20,428.70000000000005,Residential,4287,1.0,0.0
610167,24,5058.6,Residential,50586,6.0,6.0
610173,20,600.4,Residential,6004,1.0,-6.0
610178,20,471.1,Residential,4711,1.0,0.0
610179,20,453.20000000000005,Residential,4532,1.0,0.0
610184,2,618.8000000000001,Residential,6188,1.0,0.0
610191,20,354.0,Residential,3540,1.0,0.0
610198,20,599.7,Residential,5997,1.0,-1.0
610202,3,250.0,Residential,1394,1.0,0.0
610204,20,250.0,Residential,1684,1.0,0.0
610219,24,957.6,Residential,9576,1.0,1.0
610229,3,250.0,Residential,1828,1.0,0.0
610233,20,469.70000000000005,Residential,4697,1.0,0.0
610242,3,310.70000000000005,Residential,3107,1.0,0.0
610253,20,472.20000000000005,Residential,4722,1.0,0.0
610273,2,455.5,Residential,4555,1.0,0.0
610276,3,481.90000000000003,Residential,4819,1.0,0.0
610278,20,813.4000000000001,Residential,8134,1.0,1.0
610288,3,250.0,Residential,720,1.0,0.0
610293,20,349.40000000000003,Residential,3494,1.0,0.0
610316,20,250.0,Residential,2445,1.0,0.0
610318,20,281.90000000000003,Residential,2819,1.0,0.0
610330,20,306.0,Residential,3060,1.0,0.0
610362,2,250.0,Residential,675,1.0,0.0
610388,3,397.20000000000005,Residential,3972,1.0,0.0
610392,3,288.6,Residential,2886,1.0,0.0
610422,3,359.0,Residential,3590,1.0,1.0
610442,20,298.90000000000003,Residential,2989,1.0,0.0
610443,20,294.5,Residential,2945,1.0,0.0
610465,20,294.8,Residential,2948,1.0,0.0
610483,3,399.90000000000003,Residential,3999,1.0,0.0
610486,2,418.5,Residential,4185,1.0,0.0
610494,20,250.0,Residential,2298,1.0,0.0
610517,20,914.0,Residential,9140,1.0,-7.0
610540,2,374.1,Residential,3741,1.0,0.0
610557,20,250.0,Residential,2336,1.0,0.0
610572,24,441.20000000000005,Residential,4412,1.0,0.0
610680,3,1583.2,Residential,15832,2.0,-32.0
610689,3,505.90000000000003,Residential,5059,1.0,-1.0
610755,24,1130.5,Residential,11305,2.0,-6.0
610757,3,417.3,Residential,4173,1.0,1.0
610758,3,1048.6000000000001,Residential,10486,2.0,-11.0
610768,3,598.3000000000001,Residential,5983,1.0,-12.0
610786,3,480.3,Residential,4803,1.0,-3.0
610790,24,472.5,Residential,4725,1.0,0.0
610807,24,312.1,Residential,3121,1.0,0.0
610810,24,250.0,Residential,1866,1.0,0.0
610831,3,3413.2000000000003,Residential,34132,4.0,4.0
610928,3,1646.5,Residential,16465,2.0,-33.0
610956,24,299.3,Residential,2993,1.0,0.0
610962,24,250.0,Residential,1006,1.0,1.0
610980,3,319.90000000000003,Residential,3199,1.0,0.0
610981,24,624.4000000000001,Residential,6244,1.0,-2.0
610990,3,306.8,Residential,3068,1.0,0.0
610994,24,927.2,Residential,9272,1.0,-14.0
611118,24,479.90000000000003,Residential,4799,1.0,0.0
611164,2,1209.9,Residential,12099,2.0,-19.0
611180,24,386.90000000000003,Residential,3869,1.0,0.0
611224,24,802.2,Residential,8022,1.0,-15.0
611235,24,381.6,Residential,3816,1.0,0.0
611245,24,488.5,Residential,4885,1.0,0.0
611310,2,4990.900000000001,Residential,49909,5.0,5.0
611349,3,293.90000000000003,Residential,2939,1.0,0.0
611397,2,367.40000000000003,Residential,3674,1.0,0.0
611423,20,3898.8,Residential,38988,4.0,4.0
611425,20,1663.5,Residential,16635,2.0,2.0
611426,20,410.40000000000003,Residential,4104,1.0,0.0
611428,24,419.70000000000005,Residential,4197,1.0,0.0
611520,20,3534.84,Residential,13092,4.0,3.0
611537,3,9057.69,Residential,33547,10.0,9.0
611609,24,1184.74,Residential,3202,2.0,1.0
611766,24,19215.0,Residential,9150,20.0,19.0
611768,2,5833.620000000001,Residential,21606,6.0,5.0
611783,24,6184.080000000001,Residential,22904,7.0,6.0
611802,24,3149.55,Residential,11665,4.0,3.0
611929,20,2970.5400000000004,Residential,11002,3.0,2.0
611946,20,3925.53,Residential,14539,4.0,3.0
611967,20,3968.19,Residential,14697,4.0,3.0
612009,2,163772.7,Residential,77987,164.0,164.0
612115,20,14408.1,Residential,6861,15.0,15.0
612134,2,88166.40000000001,Residential,41984,89.0,89.0
612143,20,1538.83,Residential,4159,2.0,-2.0
612150,3,1644.65,Residential,4445,2.0,0.0
612170,20,1755.28,Residential,4744,2.0,1.0
612260,2,3395.25,Residential,12575,4.0,3.0
612269,24,1056.51,Residential,3913,2.0,1.0
612317,3,2540.7000000000003,Residential,9410,3.0,2.0
612359,20,1601.36,Residential,4328,2.0,1.0
612400,3,3233.8,Residential,8740,4.0,3.0
612405,3,1784.8799999999999,Residential,4824,2.0,1.0
612412,24,799.2,Residential,2160,1.0,0.0
612430,3,2286.63,Residential,8469,3.0,2.0
612509,24,1751.95,Residential,4735,2.0,1.0
612558,24,7379.58,Residential,9461,8.0,-10.0
612559,2,3666.78,Residential,4701,4.0,3.0
612709,24,1739.37,Residential,4701,2.0,0.0
612727,3,2951.12,Residential,7976,3.0,1.0
612806,2,1514.78,Residential,4094,2.0,1.0
612915,24,4598.73,Residential,12429,5.0,-1.0
618401,2,2085.32,Residential,5636,3.0,2.0
618438,2,3515.0,Residential,9500,4.0,3.0
618611,20,3463.94,Residential,9362,4.0,3.0
618732,2,1694.97,Residential,4581,2.0,1.0
620736,20,2873.79,Residential,7767,3.0,1.0
620745,20,2241.83,Residential,6059,3.0,2.0
620807,2,11899.300000000001,Residential,118993,12.0,12.0
620810,24,405.90000000000003,Residential,4059,1.0,0.0
620813,2,619.4000000000001,Residential,6194,1.0,0.0
620818,3,424.90000000000003,Residential,4249,1.0,0.0
620819,2,637.6,Residential,6376,1.0,-2.0
620827,20,609.2,Residential,6092,1.0,-1.0
620837,3,622.0,Residential,6220,1.0,0.0
620838,24,4892.2,Residential,48922,5.0,5.0
620842,20,340.3,Residential,3403,1.0,-1.0
620845,20,458.5,Residential,4585,1.0,0.0
620849,24,314.8,Residential,3148,1.0,0.0
620857,20,363.0,Residential,3630,1.0,0.0
620860,20,562.6,Residential,5626,1.0,0.0
620866,20,2062.7000000000003,Residential,20627,3.0,3.0
620875,3,435.8,Residential,4358,1.0,0.0
620882,20,386.3,Residential,3863,1.0,0.0
620886,20,533.8000000000001,Residential,5338,1.0,-2.0
620892,3,622.4000000000001,Residential,6224,1.0,0.0
620905,20,428.70000000000005,Residential,4287,1.0,0.0
620913,2,624.1,Residential,6241,1.0,0.0
620927,20,448.1,Residential,4481,1.0,0.0
620928,20,459.6,Residential,4596,1.0,0.0
620938,3,619.2,Residential,6192,1.0,-1.0
620941,3,656.1,Residential,6561,1.0,-1.0
620948,24,1504.6000000000001,Residential,15046,2.0,2.0
620966,2,607.6,Residential,6076,1.0,0.0
620972,24,633.9000000000001,Residential,6339,1.0,0.0
620978,20,639.0,Residential,6390,1.0,-1.0
620983,20,325.5,Residential,3255,1.0,0.0
620991,2,414.20000000000005,Residential,4142,1.0,0.0
620993,24,607.3000000000001,Residential,6073,1.0,-1.0
620997,20,606.3000000000001,Residential,6063,1.0,-1.0
621002,2,302.8,Residential,3028,1.0,0.0
621006,2,485.40000000000003,Residential,4854,1.0,0.0
621011,20,480.20000000000005,Residential,4802,1.0,0.0
621017,3,418.0,Residential,4180,1.0,0.0
621018,2,613.6,Residential,6136,1.0,0.0
621022,24,614.3000000000001,Residential,6143,1.0,-4.0
621025,2,567.9,Residential,5679,1.0,0.0
621026,2,564.3000000000001,Residential,5643,1.0,-2.0
621032,20,287.7,Residential,2877,1.0,-1.0
621041,3,628.4000000000001,Residential,6284,1.0,-3.0
621051,2,461.40000000000003,Residential,4614,1.0,0.0
621055,24,466.40000000000003,Residential,4664,1.0,0.0
621058,24,651.8000000000001,Residential,6518,1.0,0.0
621069,24,468.6,Residential,4686,1.0,0.0
621077,2,462.90000000000003,Residential,4629,1.0,-1.0
621081,24,635.0,Residential,6350,1.0,-1.0
621082,20,401.5,Residential,4015,1.0,0.0
621087,3,426.0,Residential,4260,1.0,1.0
621091,3,523.2,Residential,5232,1.0,0.0
621092,20,406.5,Residential,4065,1.0,0.0
621107,22,2135.2799999999997,Industrial,5084,0.0,-4.0
621187,3,3114.0,Residential,6228,4.0,3.0
621191,3,2964.0,Residential,5928,3.0,2.0
621230,24,1353.2,Residential,13532,2.0,-22.0
621232,3,415.70000000000005,Residential,4157,1.0,0.0
621241,3,444.5,Residential,4445,1.0,0.0
621250,24,505.3,Residential,5053,1.0,0.0
621259,2,906.4000000000001,Residential,9064,1.0,-16.0
621260,3,805.9000000000001,Residential,8059,1.0,-1.0
621269,20,430.20000000000005,Residential,4302,1.0,0.0
621270,2,445.0,Residential,4450,1.0,-1.0
621280,2,456.20000000000005,Residential,4562,1.0,0.0
621283,2,1216.4,Residential,12164,2.0,-21.0
621286,24,425.0,Residential,4250,1.0,0.0
621291,2,398.1,Residential,3981,1.0,0.0
621292,3,2934.2000000000003,Residential,29342,3.0,-17.0
621298,3,552.4,Residential,5524,1.0,0.0
621308,2,391.3,Residential,3913,1.0,0.0
621309,20,424.1,Residential,4241,1.0,0.0
621319,20,418.8,Residential,4188,1.0,0.0
621320,2,416.40000000000003,Residential,4164,1.0,0.0
621323,2,309.40000000000003,Residential,3094,1.0,0.0
621326,20,932.9000000000001,Residential,9329,1.0,1.0
621428,5,27819.0,Office,37092,0.0,0.0
621671,3,10830.1,Residential,108301,11.0,11.0
621695,5,9506.25,Office,12675,0.0,0.0
621724,2,17663.100000000002,Residential,176631,18.0,18.0
621876,3,732.2,Residential,7322,1.0,0.0
621884,3,712.1,Residential,7121,1.0,0.0
621890,20,691.5,Residential,6915,1.0,0.0
621891,2,688.1,Residential,6881,1.0,0.0
622059,20,707.8000000000001,Residential,7078,1.0,0.0
622066,20,745.8000000000001,Residential,7458,1.0,0.0
622074,24,703.6,Residential,7036,1.0,0.0
622096,3,706.1,Residential,7061,1.0,0.0
622099,20,700.0,Residential,7000,1.0,0.0
622103,2,695.5,Residential,6955,1.0,0.0
