,building_type_id,building_sqft,general_type,lot_size,residential_units,net_residential_units
395555,3,687.4000000000001,Residential,6874,1.0,0.0
395558,24,1395.0,Residential,13950,2.0,2.0
395559,24,1149.0,Residential,11490,2.0,-6.0
395561,24,703.5,Residential,7035,1.0,1.0
395567,24,1029.2,Residential,10292,2.0,2.0
395568,20,1933.0,Residential,19330,2.0,2.0
395582,2,350.8,Residential,3508,1.0,0.0
395588,20,667.3000000000001,Residential,6673,1.0,-6.0
395589,3,996.5,Residential,9965,1.0,-1.0
395594,24,510.1,Residential,5101,1.0,-1.0
395595,20,573.7,Residential,5737,1.0,-1.0
395604,24,1400.1000000000001,Residential,14001,2.0,2.0
395606,24,1374.8000000000002,Residential,13748,2.0,2.0
395609,2,699.6,Residential,6996,1.0,-3.0
395612,20,350.6,Residential,3506,1.0,0.0
395626,24,446.8,Residential,4468,1.0,0.0
395628,2,459.1,Residential,4591,1.0,-1.0
395629,3,1421.2,Residential,14212,2.0,-6.0
395632,3,1735.0,Residential,17350,2.0,-8.0
395633,24,6313.5,Residential,63135,7.0,-87.0
395634,3,1970.2,Residential,19702,2.0,2.0
395640,24,528.5,Residential,5285,1.0,0.0
395642,24,1599.0,Residential,15990,2.0,-4.0
395643,20,2182.0,Residential,21820,3.0,-13.0
395659,20,862.3000000000001,Residential,8623,1.0,-4.0
395663,3,1114.9,Residential,11149,2.0,1.0
395679,2,1345.0,Residential,13450,2.0,-2.0
395685,20,250.0,Residential,5618,1.0,1.0
395781,24,4978.5,Residential,49785,5.0,4.0
395782,20,1188.2,Residential,11882,2.0,2.0
395783,24,1173.5,Residential,11735,2.0,2.0
395784,20,1197.5,Residential,11975,2.0,2.0
395786,24,2226.5,Residential,22265,3.0,3.0
395814,2,12419.6,Residential,124196,13.0,-18.0
395832,20,2976.8,Residential,29768,3.0,-16.0
395837,3,31127.7,Residential,311277,32.0,-47.0
395838,3,4041.9,Residential,40419,5.0,-31.0
395841,20,1281.8000000000002,Residential,12818,2.0,2.0
395842,20,250.0,Residential,1039,1.0,1.0
395843,20,4317.6,Residential,43176,5.0,5.0
395844,2,8012.5,Residential,80125,9.0,-27.0
395848,20,1954.5,Residential,19545,2.0,2.0
395850,24,2739.9,Residential,27399,3.0,-14.0
395851,24,3918.7000000000003,Residential,39187,4.0,-34.0
395855,20,5317.400000000001,Residential,53174,6.0,-10.0
395856,24,4471.900000000001,Residential,44719,5.0,-2.0
395857,20,1595.6000000000001,Residential,15956,2.0,-5.0
395858,24,1537.3000000000002,Residential,15373,2.0,-10.0
396651,3,92524.88,Residential,330446,93.0,93.0
396898,5,27168.18,Office,34831,0.0,0.0
396976,20,250.0,Residential,7749,1.0,-1.0
396977,24,343.5,Residential,6870,1.0,-1.0
396978,2,730.1,Residential,7301,1.0,0.0
396979,2,691.4000000000001,Residential,6914,1.0,-1.0
396980,2,691.2,Residential,6912,1.0,0.0
396981,2,683.9000000000001,Residential,6839,1.0,0.0
396982,2,697.2,Residential,6972,1.0,-1.0
396983,2,731.0,Residential,7310,1.0,0.0
396984,3,703.7,Residential,7037,1.0,0.0
396985,20,691.5,Residential,6915,1.0,0.0
396986,20,250.0,Residential,7280,1.0,0.0
396987,20,250.0,Residential,6599,1.0,0.0
396988,3,728.0,Residential,7280,1.0,-1.0
396989,2,682.4000000000001,Residential,6824,1.0,0.0
396990,2,703.7,Residential,7037,1.0,-1.0
396991,20,733.9000000000001,Residential,7339,1.0,-1.0
396992,2,706.7,Residential,7067,1.0,0.0
396993,24,713.6,Residential,7136,1.0,0.0
396994,2,674.9000000000001,Residential,6749,1.0,0.0
396995,2,679.2,Residential,6792,1.0,-1.0
396996,2,671.2,Residential,6712,1.0,-1.0
396997,2,711.6,Residential,7116,1.0,-1.0
396998,2,699.2,Residential,6992,1.0,0.0
396999,3,729.7,Residential,7297,1.0,0.0
397000,20,685.5,Residential,6855,1.0,-1.0
397001,24,711.0,Residential,7110,1.0,-1.0
397015,20,338.20000000000005,Residential,6764,1.0,0.0
397016,20,710.8000000000001,Residential,7108,1.0,-1.0
397017,2,650.7,Residential,6507,1.0,0.0
397018,2,681.0,Residential,6810,1.0,-1.0
397019,2,707.5,Residential,7075,1.0,0.0
397020,20,487.1,Residential,4871,1.0,0.0
397021,20,250.0,Residential,2041,1.0,0.0
397023,2,717.1,Residential,7171,1.0,1.0
397024,2,698.7,Residential,6987,1.0,0.0
397025,3,660.6,Residential,6606,1.0,-4.0
397026,2,724.0,Residential,7240,1.0,-3.0
397027,24,673.7,Residential,6737,1.0,-3.0
397028,20,250.0,Residential,7130,1.0,-3.0
397029,3,250.0,Residential,6561,1.0,-3.0
397030,2,686.5,Residential,6865,1.0,0.0
397031,3,677.6,Residential,6776,1.0,0.0
397032,3,673.6,Residential,6736,1.0,0.0
397033,2,701.4000000000001,Residential,7014,1.0,-1.0
397034,20,362.8,Residential,3628,1.0,0.0
397035,20,683.1,Residential,6831,1.0,-1.0
397043,20,326.8,Residential,3268,1.0,0.0
397073,2,250.0,Residential,2530,1.0,0.0
397074,24,250.0,Residential,4974,1.0,0.0
397075,20,499.1,Residential,4991,1.0,0.0
397076,20,250.0,Residential,2006,1.0,0.0
397077,2,323.20000000000005,Residential,3232,1.0,0.0
397078,3,338.90000000000003,Residential,3389,1.0,0.0
397079,2,335.90000000000003,Residential,3359,1.0,0.0
397080,20,362.70000000000005,Residential,3627,1.0,1.0
397082,2,356.3,Residential,3563,1.0,0.0
397083,24,352.20000000000005,Residential,3522,1.0,0.0
397084,20,725.1,Residential,7251,1.0,0.0
397099,20,337.3,Residential,3373,1.0,0.0
397100,2,338.90000000000003,Residential,3389,1.0,0.0
397219,3,78743.16,Residential,218731,79.0,-35.0
397245,2,34896.6,Residential,96935,35.0,-79.0
397246,24,46045.439999999995,Residential,127904,47.0,-67.0
397437,2,800.1,Residential,8001,1.0,-5.0
397852,2,1429.1000000000001,Residential,14291,2.0,-11.0
397855,3,660.8000000000001,Residential,6608,1.0,0.0
397858,2,1752.4,Residential,17524,2.0,-10.0
397909,2,666.2,Residential,6662,1.0,-3.0
397910,24,691.5,Residential,6915,1.0,-2.0
397917,3,628.2,Residential,6282,1.0,-3.0
397978,2,619.4000000000001,Residential,6194,1.0,-3.0
398038,2,506.1,Residential,5061,1.0,0.0
398039,2,671.8000000000001,Residential,6718,1.0,-2.0
398075,17,7177.0,Retail,14354,0.0,0.0
398078,5,2545.5,Office,3394,0.0,0.0
398084,5,31122.0,Office,41496,0.0,0.0
398106,18,250.0,Retail,132,0.0,0.0
398212,3,784.4000000000001,Residential,7844,1.0,-19.0
